,Combined Description Cleaned,Assignment group,LabelEncodings
0,login issue user manager name checked the name in ad and reset password advised to check caller confirmed that he was able login issue resolved,GRP_0,0
1,outlook received from hello team my are not in calendar can somebody please advise how to correct this kind,GRP_0,0
2,cannot log in to received from hi i cannot on best,GRP_0,0
3,unable to access tool page,GRP_0,0
4,error,GRP_0,0
5,unable to log in engineering tool and,GRP_0,0
6,event the value of threshold for is,GRP_1,1
7,ticket no employment status new enter name,GRP_0,0
8,unable to disable add on outlook,GRP_0,0
9,ticket update on implant,GRP_0,0
10,engineering tool not connected and unable to submit,GRP_0,0
11,tool site not loading page correctly,GRP_0,0
12,unable to login tool,GRP_0,0
13,user to reset the password,GRP_0,0
14,unable to open,GRP_0,0
16,unable to login company received from hi i am trying open a new session the below link but not able get through help urgently as we are working from home tomorrow due month end,GRP_0,0
17,when unlocking screen will not come back,GRP_3,23
18,account locked,GRP_0,0
19,unable to sign into,GRP_0,0
20,unable to check,GRP_0,0
21,issue received from hello i am not able to connect from home office couple f ago was connected now it is working getting a message that my session but if click on the link nothing need help with your dynamics here chat live agent regarding now best,GRP_0,0
22,unable to connect,GRP_0,0
23,user for vendor phone number,GRP_0,0
24,not working received from hello being able to connect company network through the check sir am as a result of no network,GRP_0,0
25,password reset,GRP_0,0
26,unable to login tool check,GRP_0,0
27,account locked out,GRP_0,0
29,unable to log in,GRP_0,0
30,password reset for collaboration platform,GRP_0,0
31,reset hi please password client id,GRP_0,0
32,duplication of network address received from gentle i have two that are trying to share an they one is a printer with the and other new display for get its address assigned hard my guess did not set static in need this corrected so will pick up another,GRP_4,34
33,ess password reset,GRP_0,0
34,unable to install flash player,GRP_0,0
35,ticket status new,GRP_0,0
36,account unlock and password reset,GRP_0,0
37,unable to resolve ticket no assigned self the status button is disappearing after a few,GRP_0,0
38,engineering tool need to install on the,GRP_0,0
39,call for,GRP_0,0
40,ticket update implant,GRP_0,0
41,tablet sound not working,GRP_0,0
42,unable to login system,GRP_0,0
43,please on printer to printer issue needs be resolved today received from hi the printer is not working and a part can you in queue printer that new it may deliver for few days so will need print now this taken care of since are printed picked up by an outside vendor at daily basis contact if have about today,GRP_5,45
44,unable to login tool time,GRP_0,0
45,can not log into tool time through single sign on portal,GRP_0,0
46,password in password management tool but did not update for account,GRP_0,0
47,job job in job schedule at received from,GRP_6,56
48,password change via password management tool,GRP_0,0
49,status does not change on telephony when a call the agent on call status,GRP_7,67
50,job in job schedule at received from,GRP_8,72
52,i need my password management tool password manager reset,GRP_0,0
53,reset password received from hello please my password global product manager,GRP_0,0
54,account locked out while in office kept locking possible or mobile device setup an incorrect password and network do not match,GRP_0,0
55,meeting received from good morning i had to reset my password again and lost option for setting up a again can you please help me cannot recall how were able bring it back the last time,GRP_0,0
56,enquiry on impact how to get password reset,GRP_0,0
57,need for material plant plant thanks,GRP_6,56
58,unlock password received from hello please help to my company net log on password urgent,GRP_0,0
60,job job in job schedule at received from,GRP_8,72
61,password for user,GRP_0,0
62,with outlook received from best,GRP_0,0
63,urgent create div please help i try to for this from plant plant,GRP_6,56
64,company two are down since am on,GRP_8,72
65,error login on to the system user manager name user tried password management tool manager unlocked id caller confirmed that he was able login issue resolved,GRP_0,0
66,delivery note cannot do post goods issue to plant the display note not check your entry,GRP_0,0
67,job job in job schedule at received from,GRP_9,73
71,user locked received from it team please kindly release locked computer for name,GRP_0,0
72,dell my is not working again and your urgent help,GRP_0,0
73,user needs help to connect the wireless connection at home had lan connected system checked network help login home wireless disconnected lan user confirmed that he is able issue resolved,GRP_0,0
74,ticket update,GRP_0,0
75,job payroll na u in job schedule at received from,GRP_10,2
78,power al st and th ave hard down since at on what type of outage network circuit x power please specify outage top site yes when did it start maintenance power no company provider network no maint does have a backup circuit yes active na contact notified remote dialing na equipment reset working na vendor ticket global vendor vendor global additional diagnostics,GRP_8,72
79,power outage site is hard down since am what type of outage x network circuit power please specify outage top no when did it start maintenance power no company provider network no maint does have a backup circuit no active no contact notified remote dialing equipment reset working on vendor ticket global vendor vendor additional diagnostics,GRP_8,72
82,user logging to outlook will be available tomorrow around am he works out of company campus request you reach him fix the issue,GRP_0,0
83,job in job schedule at received from,GRP_9,73
84,engineering tool drawing in format are not shown hello it service i need to monitor the approve stopped showing process production order interface destination production order interface accessible file cannot be now stack trace id z z z z document is this a known problem when will fixed,GRP_11,3
85,job bop plant a in job schedule at received from,GRP_6,56
88,unable to open ie,GRP_0,0
90,job cold in job schedule at received from,GRP_5,45
92,job job in job schedule at received from,GRP_5,45
97,c on server is over space available g,GRP_12,4
98,unable to view from tool e time,GRP_0,0
99,password expiry tomorrow received from my system tomorrow but when i want to change a new password it does not allow the is server authorize kindly check and do needful as expiring,GRP_0,0
100,re ess portal access issue received from hello he is an kiosk user please reset the password and confirm sent to subject hi below employee with user id not able to login his pay related contents a attendance tool revert back,GRP_0,0
101,ess portal access issue received from hi below employee with user id is not able to login his pay and related contents he a attendance tool user please reset password revert back,GRP_0,0
107,attendance tool system log on error received from hello good morning i am with every time try to through single sign portal the following screen displayed and it stays there appreciate your support fix this issue,GRP_0,0
108,excel freezing issue,GRP_0,0
109,unable to sync a file in collaboration platform,GRP_0,0
110,unable to update password on the password management tool manager,GRP_0,0
111,transfer tool access query,GRP_0,0
112,job job in job schedule at received from,GRP_13,5
113,user said he will,GRP_0,0
114,unable update on password management tool,GRP_0,0
115,production password reset account is locked,GRP_0,0
116,server received from hello i have been trying to gain access my pay roll information on the hub specifically tool time portal other portal come up without but pay stub does continuously search ring,GRP_0,0
117,ticket update on ticket no,GRP_0,0
118,unable to display expense report,GRP_0,0
119,password reset for,GRP_0,0
120,unable to login in tab,GRP_0,0
121,hello an issue with my outlook view can you call me and let share screen,GRP_0,0
122,unable to access,GRP_0,0
124,mobile device activation from sent to subject your been temporarily blocked from exchange until your administrator access hi i received this message and our local it expert told me to open a ticket,GRP_0,0
125,internal will not work after nor an external,GRP_3,23
126,blank call so,GRP_0,0
127,update on implant,GRP_0,0
128,password change password management tool manager received from hello sir i tried to my above got below error help know what action be taken further ensure all are same everywhere since below were not,GRP_0,0
129,unlock personal number in ess,GRP_0,0
130,intermittent service on server in probably a restart production server the error and internal server error error while trying to invoke method of null object loaded from local variable local list issue can be a company customer base material finishing b starting scratch i select product platform roughing but screen c language different en de we had this already several times before it always is good contact person for as he was working root cause with our external vendor,GRP_14,6
132,unable to open outlook,GRP_0,0
133,install driver in printer,GRP_0,0
134,unable to send from outbox,GRP_0,0
135,access to business client language explorer customer number summary cannot seem the from application that is on my computer it does not take me same page have,GRP_0,0
136,taking off from personal phone language explorer customer number summary have scrapped the old phone my mail was in it can you take set to view on that,GRP_0,0
139,unable to view in ie,GRP_0,0
140,password reset please tool reset,GRP_0,0
141,channel partner multiple from urgent hi our with the address received regarding error in a of he is very angry this needs to be fixed attached file extracted,GRP_15,7
142,company interface is down since on,GRP_8,72
143,password reset received from good morning i have forgotten my for made and could you please reset user id is,GRP_0,0
144,ess login issue user manager name checked the name in ad and reset password advised to check caller confirmed that he was able login issue resolved,GRP_0,0
145,unable to start dell in device is his tablet device,GRP_0,0
146,print tool install,GRP_0,0
147,good morning i am trouble getting into my language explorer customer number can you assist,GRP_0,0
148,install acrobat standard,GRP_0,0
149,password reset from ad,GRP_0,0
150,reset the password for on please my to its blocked login,GRP_0,0
151,i used to have access this location on collaboration platform now do not need access received from regional controller,GRP_16,8
152,is getting disabled from outlook,GRP_0,0
153,outlook,GRP_0,0
154,not working,GRP_0,0
155,reset for password management tool password reset employee is getting an error user authentication when trying to log into the ess portal she able access and hub tried change her through manager but got cannot find account on target active directory user id,GRP_17,9
156,job tool prod in job schedule at received from,GRP_8,72
