,Combined Description Cleaned,Assignment group
0,login issue user manager name checked the name in ad and reset password advised to check caller confirmed that he was able login issue resolved,GRP_0
1,outlook received from hello team my are not in calendar can somebody please advise how to correct this kind,GRP_0
2,cannot log in to received from hi i cannot on best,GRP_0
3,unable to access tool page,GRP_0
4,error,GRP_0
5,unable to log in engineering tool and,GRP_0
6,event the value of threshold for is,GRP_1
7,ticket no employment status new enter name,GRP_0
8,unable to disable add on outlook,GRP_0
9,ticket update on implant,GRP_0
10,engineering tool not connected and unable to submit,GRP_0
11,tool site not loading page correctly,GRP_0
12,unable to login tool,GRP_0
13,user to reset the password,GRP_0
14,unable to open,GRP_0
15,ticket update on implant,GRP_0
16,unable to login company received from hi i am trying open a new session the below link but not able get through help urgently as we are working from home tomorrow due month end,GRP_0
17,when unlocking screen will not come back,GRP_3
18,account locked,GRP_0
19,unable to sign into,GRP_0
20,unable to check,GRP_0
21,issue received from hello i am not able to connect from home office couple f ago was connected now it is working getting a message that my session but if click on the link nothing need help with your dynamics here chat live agent regarding now best,GRP_0
22,unable to connect,GRP_0
23,user for vendor phone number,GRP_0
24,not working received from hello being able to connect company network through the check sir am as a result of no network,GRP_0
25,password reset,GRP_0
26,unable to login tool check,GRP_0
27,account locked out,GRP_0
28,unable to login tool,GRP_0
29,unable to log in,GRP_0
30,password reset for collaboration platform,GRP_0
31,reset hi please password client id,GRP_0
32,duplication of network address received from gentle i have two that are trying to share an they one is a printer with the and other new display for get its address assigned hard my guess did not set static in need this corrected so will pick up another,GRP_4
33,ess password reset,GRP_0
34,unable to install flash player,GRP_0
35,ticket status new,GRP_0
36,account unlock and password reset,GRP_0
37,unable to resolve ticket no assigned self the status button is disappearing after a few,GRP_0
38,engineering tool need to install on the,GRP_0
39,call for,GRP_0
40,ticket update implant,GRP_0
41,tablet sound not working,GRP_0
42,unable to login system,GRP_0
43,please on printer to printer issue needs be resolved today received from hi the printer is not working and a part can you in queue printer that new it may deliver for few days so will need print now this taken care of since are printed picked up by an outside vendor at daily basis contact if have about today,GRP_5
44,unable to login tool time,GRP_0
45,can not log into tool time through single sign on portal,GRP_0
