,Combined Description Cleaned,Assignment group
47,job fail schedule monitor,GRP_6
60,job fail schedule monitor,GRP_8
67,job fail schedule monitor,GRP_9
92,job fail schedule monitor,GRP_5
112,job fail schedule monitor,GRP_13
175,job fail schedule monitor,GRP_12
1220,job fail schedule monitor,GRP_29
1265,job fail schedule monitor,GRP_10
2250,job fail schedule monitor,GRP_18
2331,job fail schedule monitor,GRP_44
3194,job fail schedule monitor,GRP_14
3340,job fail schedule monitor,GRP_45
5908,job fail schedule monitor,GRP_47
6320,job fail schedule monitor,GRP_60
6839,job fail schedule monitor,GRP_57
0,ticket update implant,GRP_0
0,account lock,GRP_0
0,erp sid password reset,GRP_0
0,ticket update,GRP_0
0,erp sid account lock,GRP_0
0,password reset,GRP_0
0,job payroll fail schedule monitor,GRP_10
0,window account lock,GRP_0
0,amend job schedule monitor,GRP_9
0,window password reset,GRP_0
0,account lock ad,GRP_0
0,amend job schedule monitor,GRP_8
0,blank call,GRP_0
0,erp sid account unlock,GRP_0
0,job sid hot fail schedule monitor,GRP_5
0,job sid cold fail schedule monitor,GRP_5
0,job eu tool notch fail schedule monitor,GRP_8
0,account unlock,GRP_0
0,nan,GRP_30
0,erp sid account unlock password reset,GRP_0
0,unable connect vpn,GRP_0
0,amend job schedule monitor,GRP_6
0,nan,GRP_48
0,job sid arc fail schedule monitor,GRP_8
0,password reset request,GRP_0
0,unable login style,GRP_0
0,job sid file fail schedule monitor,GRP_8
0,job snp rgen fail schedule monitor,GRP_6
0,unable launch outlook,GRP_0
0,job shortname fail fail schedule monitor,GRP_8
0,job sid hot fail schedule monitor,GRP_8
0,help change window password use management tool connect user system teamviewer login manager password sync password company network caller confirm able issue resolve,GRP_0
0,blank call loud noise,GRP_0
0,login issue verify user detail employee manager name check ad unlock account advise check caller confirm able resolve,GRP_0
0,job bwin shortname inc fail schedule monitor,GRP_8
0,window account lockout,GRP_0
0,mobile device activation,GRP_0
0,es password reset,GRP_0
0,amend job schedule sid cold monitor,GRP_5
0,unable open outlook,GRP_0
0,account lock erp sid,GRP_0
0,unable login engineer tool,GRP_0
0,error login sid system verify user detail employee manager name try password management tool pid unlock reset erp daypay caller confirm able issue resolve,GRP_0
0,request reset microsoft online service password,GRP_0
0,inc ticket update,GRP_0
0,unable login erp sid,GRP_0
0,job bwhrattr fail schedule monitor,GRP_9
0,unable log erp sid,GRP_0
0,vpn work company com link give error,GRP_0
0,call ecwtrjnq jpecxuty,GRP_0
0,job scr rollfgyuej fail schedule monitor,GRP_8
0,outlook work,GRP_0
0,job eu tool notch keep fail schedule monitor,GRP_8
0,job sid uacyltoe hxgaycze fail schedule monitor,GRP_5
0,password reset alert,GRP_0
0,unable load outlook,GRP_0
0,reset password bxeagsmt zrwdgsco use password management tool,GRP_17
0,ad account lock,GRP_0
0,shortname average sample disk free warn threshold total size gb,GRP_12
0,unable login collaboration platform,GRP_0
0,login issue verify user detail employee manager name check ad reset password advise check caller confirm able resolve,GRP_0
0,password reset management tool,GRP_0
0,amend job schedule sid cold monitor,GRP_8
0,error login sid system verify user detail employee manager name try password management tool pid unlock erp caller confirm able issue resolve,GRP_0
0,update implant,GRP_0
0,wifi work,GRP_0
0,amend job schedule monitor,GRP_47
0,unable connect wifi,GRP_0
0,erp sid password reset request,GRP_0
0,unable sign style,GRP_0
0,account lockout,GRP_0
0,erp password reset sid,GRP_0
0,amend job schedule sid hot monitor,GRP_8
0,account lock password reset,GRP_0
0,outlook open,GRP_0
0,job backup tool powder prod full fail schedule monitor,GRP_8
0,job snp rgen fail schedule monitor,GRP_8
0,job sid hot fail schedule monitor,GRP_1
0,style audio work,GRP_0
0,mobile device activation company provide,GRP_0
0,Then user unable login vpn connect system use teamviewer help company link issue resolve,GRP_0
0,job val update crosscomp fail schedule monitor,GRP_10
0,call come get disconnect,GRP_0
0,amend job schedule b monitor,GRP_6
0,erp sid lock,GRP_0
0,shortname volume label sys space consume available g,GRP_39
0,amend job schedule snp hay rain monitor rgen,GRP_6
0,german call,GRP_0
0,amend job schedule tooldcvcgenratn monitor,GRP_6
0,password expire,GRP_0
0,vpn work,GRP_0
0,window account unlock,GRP_0
0,outlook start,GRP_0
0,vpn,GRP_31
0,unable access collaboration platform,GRP_0
0,wireless outage taiwan hello companysecure please help,GRP_4
0,erp work error log balance inc cert open work around,GRP_0
0,collaboration platform issue,GRP_0
0,unlock account,GRP_0
0,network outage russia warehouse since et type circuit power please specify top cert site yes na start schedule maintenance company provider maint ticket backup active contact notify phone email remote dial equipment reset verify work vendor global telecom verizon gsc start additional diagnostics,GRP_8
0,unable install engineer tool,GRP_0
0,unable open website,GRP_0
0,impact award password reset,GRP_0
0,job bwhrertran fail schedule monitor,GRP_9
0,ie,GRP_31
0,shortname oracle finance app financial management web tier ecosystem service monitor,GRP_12
0,unable log style,GRP_0
0,job backup tool sql prod inc fail schedule monitor,GRP_8
0,outlook issue,GRP_0
0,job conf fail schedule monitor,GRP_9
0,unable log window,GRP_0
0,job bwdpmbkp fail schedule monitor,GRP_9
0,nan,GRP_31
0,zdsxmcwu thdjzolwronization issue,GRP_0
0,erp sid password reset do confirm user,GRP_0
0,phone issue,GRP_0
0,es login issue verify user detail employee manager name check ad reset password advise check caller confirm able resolve,GRP_0
0,amend job schedule hand sid erp way dp monitor,GRP_8
0,install company barcode ewe vzqomdgt jwoqbuml,GRP_24
0,style issue personal certificate error,GRP_0
0,svc ticket find nothing monitor,GRP_60
0,account get lock,GRP_0
0,problem erpgui tmqfjard qzhgdoua,GRP_24
0,need configure printer,GRP_0
0,job backup tool shortname prod inc fail schedule monitor,GRP_5
0,printer driver update,GRP_0
0,job bwin infant full fail schedule monitor,GRP_8
0,job backup tool shortname prod full fail schedule monitor,GRP_8
0,outlook launch,GRP_0
0,outlook load,GRP_0
0,unable display expense report,GRP_0
0,style personal certificate issue,GRP_0
0,style open,GRP_0
0,job apo pd fail schedule monitor,GRP_6
0,unable connect wireless,GRP_0
0,outlook prompt password,GRP_0
0,job bwin shortname inc fail schedule monitor,GRP_5
0,job run long minute kirtyled rerun monitor fail schedule,GRP_6
0,outlook,GRP_30
0,outlook respond,GRP_0
0,job payroll fail schedule monitor,GRP_8
0,outlook hang,GRP_0
0,job shortname fail fail schedule monitor,GRP_60
0,password change,GRP_0
0,unable connect mobile broadband,GRP_0
0,account information update perform spam query,GRP_0
0,outlook freeze,GRP_0
0,outlook freeze issue,GRP_0
0,interface fastethernet van lhqwxsf company usa switch access com,GRP_4
0,amend job schedule sid hot monitor,GRP_5
